page_name,STEMMESEDDELNAVN
Nils Sjøberg,Nils Sjøberg
Kristian Pihl Lorentzen,Kristian Pihl Lorentzen
Charlotte Libach,Charlotte Libach
Kristian Hegaard,Kristian Hegaard
Birgitte Bergman,Birgitte Bergman
Karen Ellemann,Karen Ellemann
Anette Svindborg - Dansk Folkeparti,Anette Svindborg
Mikkel Ammitzbøll - SF,Mikkel Ammitzbøll
Jacob Klivager,Jacob Klivager
Trine Bramsen,Trine Bramsen
Steffen Sjørslev - Liberal Alliance,Steffen Sjørslev
Birte M. Andersen,Birte M. Andersen
Maja Torp - Politiker,Maja Torp
Morten Kjær Sørensen - Radikale Venstre,Morten Kjær Sørensen
Mette Thiesen,Mette Thiesen
Steen Holm Iversen,Steen Holm Iversen
Jens Rohde,Jens Rohde
Henrik Boye,Henrik Boye
"Betina Signe Stick, Politiker, Dansk Folkeparti",Betina Signe Stick
Ole Lynggaard Jørgensen Radikal folketingskandidat,Ole Lynggaard Jørgensen
Charlotte Vindeløv,Charlotte Vindeløv
Maria Durhuus,Maria Durhuus
Poul Højlund NB,Poul Højlund
Lea Wermelin,Lea Wermelin
Kenneth Kristensen Berth,Kenneth Kristensen Berth
David Jakobsen,David Jakobsen
DF Søren Hald Christensen,Søren Hald Christensen
Simon Emil Ammitzbøll-Bille,Simon Emil Ammitzbøll-Bille
Claus Hasselmann - Folketingskandidat,Claus Hasselmann
Pernille Weiss,Pernille Weiss
Asbjørn Gerting Olsson,Asbjørn Gerting Olsson
Laila Sortland,Laila Sortland
Niels Fuglsang,Niels Fuglsang
Morten Klessen,Morten Klessen
Rikke Lauritsen - SF,Rikke Lauritsen
Hedvig Vestergaard,Hedvig Vestergaard
Nikolaj Villumsen,Nikolaj Villumsen
Casper Pedersen,Casper Pedersen
Marianne Vind,Marianne Vind
Troels Stru Schmidt,Troels Stru Schmidt
Asger Christensen i EU,Asger Christensen
Sissel van Run-Kvist,Sissel van Run-Kvist
Anders Burlund - Liberal Alliance,Anders Burlund
Mette Poulsen,Mette Poulsen
Tobias Clausen,Tobias Clausen
Jeppe Kofod,Jeppe Kofod
Henrik Noes Piester - kandidat til Europa-Parlamentet 2019,Henrik Noes Piester
Mick Keller - Liberal Alliance,Mick Keller
Rune Frøding,Rune Frøding
Lone Madsen - Nye Borgerlige politik,Lone Madsen
Jakob Thiemann - politiker,Jakob Thiemann
Erik Poulsen - EU-ambassadør for Venstre,Erik Poulsen
Pernille Skipper,Pernille Skipper
Morten Helveg Petersen,Morten Helveg Petersen
David Munis Zepernick - radikal dansk-europæer,David Munis Zepernick
Philip Tarning-Andersen,Philip Tarning-Andersen
Rune Scharff Andreasen,Rune Scharff Andreasen
Kuzma Pavlov Jensen,Kuzma Pavlov Jensen
Susanna Dyre-Greensite,Susanna Dyre-Greensite
"Theresa Blegvad, Aarhus Byråd",Theresa Blegvad
Christel Schaldemose,Christel Schaldemose
Linea Søgaard-Lidell,Linea Søgaard-Lidell
